Member_number,Date,itemDescription,Frequency,Frequency_per_date,Item_Sold
2506,2014-02-27,chocolate,8,2,1
4799,2014-04-01,frozen fish,19,2,1
2360,2014-07-09,napkins,6,2,1
4822,2014-08-21,coffee,12,2,3
1554,2014-02-04,curd,15,2,2
1867,2014-03-18,frozen vegetables,11,2,2
2148,2014-11-20,domestic eggs,10,2,4
3863,2014-07-19,whipped/sour cream,14,2,1
1010,2014-08-23,specialty bar,12,2,1
2768,2014-05-05,baking powder,7,2,1
2218,2014-11-06,pot plants,13,2,1
3785,2014-08-16,frozen fish,9,2,2
4823,2014-01-05,frozen meals,8,2,1
1475,2014-03-05,kitchen towels,10,2,1
1052,2014-01-15,grapes,27,2,1
2565,2014-09-16,jam,12,2,1
4259,2014-07-23,yogurt,12,2,8
1061,2014-07-31,hard cheese,14,2,2
4001,2014-06-11,soda,8,2,3
1620,2014-07-21,cream cheese ,11,2,1
3458,2014-06-27,mustard,10,2,1
2178,2014-10-11,male cosmetics,11,2,1
1995,2014-06-14,yogurt,17,2,2
2161,2014-09-24,margarine,4,2,1
3349,2014-07-12,herbs,8,2,2
3742,2014-09-26,shopping bags,4,2,4
1244,2014-11-24,soda,8,2,4
3609,2014-05-13,rolls/buns,10,2,2
2375,2014-03-31,dog food,11,2,1
2974,2014-05-24,frozen vegetables,9,2,4
3030,2014-12-06,whole milk,10,2,3
3737,2014-12-22,other vegetables,33,2,3
3619,2014-03-15,dessert,10,2,1
3705,2014-02-28,herbs,11,2,1
3974,2014-08-25,bottled water,6,2,2
1798,2014-10-06,hamburger meat,17,2,1
3272,2014-04-18,canned beer,4,2,2
2666,2014-05-26,chocolate,16,2,1
2717,2014-01-02,fruit/vegetable juice,2,2,3
1095,2014-03-25,shopping bags,8,2,1
1480,2014-12-22,bottled water,13,2,2
2865,2014-09-23,processed cheese,8,2,1
1482,2014-10-22,brown bread,20,2,2
3184,2014-04-20,berries,14,2,1
1468,2014-08-21,salty snack,15,2,1
4077,2014-12-25,sauces,14,2,1
3888,2014-10-16,butter,4,2,1
3972,2014-04-07,butter,14,2,1
2967,2014-05-27,oil,6,2,1
3380,2014-08-16,other vegetables,18,2,5
2207,2014-12-03,coffee,8,2,2
3600,2014-04-08,pickled vegetables,15,2,1
4618,2014-07-09,sliced cheese,12,2,1
2680,2014-03-16,frozen meals,8,2,1
1651,2014-03-23,dishes,16,4,1
2934,2014-03-22,fruit/vegetable juice,9,2,1
2860,2014-09-15,waffles,14,2,1
1307,2014-11-01,rolls/buns,12,2,2
4628,2014-12-15,UHT-milk,20,2,1
1240,2014-11-27,shopping bags,13,2,3
3666,2014-06-14,bottled water,12,2,1
4008,2014-10-14,shopping bags,9,2,1
3386,2014-08-07,baking powder,8,2,1
2472,2014-06-19,sugar,8,2,2
1323,2014-06-18,whole milk,8,2,6
1654,2014-09-08,butter,23,2,3
3620,2014-05-17,berries,15,2,1
4952,2014-09-03,specialty chocolate,15,2,2
3966,2014-01-07,canned beer,11,2,3
1964,2014-03-23,other vegetables,10,2,3
2504,2014-12-16,waffles,11,2,1
4500,2014-02-04,cat food,10,2,1
1454,2014-05-03,fruit/vegetable juice,11,2,1
1066,2014-02-01,bottled beer,6,2,2
3692,2014-01-09,salty snack,12,2,1
2445,2014-04-17,pastry,8,2,1
1860,2014-01-31,rolls/buns,4,2,3
1153,2014-08-19,cake bar,17,2,1
3317,2014-08-10,soda,7,2,3
1957,2014-03-20,berries,4,2,1
4303,2014-11-28,specialty bar,25,2,1
3556,2014-10-04,brown bread,10,2,2
1282,2014-05-04,shopping bags,10,2,4
4034,2014-08-29,specialty bar,6,2,1
2807,2014-07-17,beverages,11,2,1
2232,2014-01-25,dessert,14,2,1
2303,2014-06-12,hair spray,6,2,1
2050,2014-10-20,rolls/buns,4,2,5
3381,2014-12-05,coffee,4,2,1
3402,2014-05-17,coffee,21,2,2
3072,2014-11-12,dessert,17,2,1
3381,2014-10-30,hygiene articles,4,2,2
1367,2014-01-31,bottled beer,5,2,1
1895,2014-01-23,whipped/sour cream,13,2,3
3267,2014-11-14,soda,9,2,2
4192,2014-02-17,canned beer,15,4,2
2274,2014-12-04,curd,11,2,2
4430,2014-10-03,whipped/sour cream,14,2,2
4329,2014-10-23,dessert,7,2,2
1922,2014-05-30,whipped/sour cream,19,2,2
2154,2014-08-14,onions,11,2,1
4523,2014-08-06,canned beer,12,2,1
1136,2014-05-02,flower (seeds),19,2,2
3439,2014-04-27,soda,11,2,1
2980,2014-11-27,shopping bags,7,2,3
2509,2014-08-17,other vegetables,8,2,6
4845,2014-07-10,fruit/vegetable juice,8,2,1
3589,2014-07-24,fruit/vegetable juice,13,2,2
4505,2014-01-18,other vegetables,13,2,7
2744,2014-05-06,frozen vegetables,8,2,3
4236,2014-03-04,curd,14,2,1
3928,2014-08-07,shopping bags,10,3,1
1207,2014-04-28,pickled vegetables,8,3,1
2578,2014-04-19,rolls/buns,18,3,2
1553,2014-05-09,soda,14,3,1
3942,2014-01-01,yogurt,23,3,4
1583,2014-11-27,dessert,21,3,2
2133,2014-05-24,cat food,16,3,1
4860,2014-11-14,newspapers,14,3,1
4548,2014-10-09,onions,15,3,1
2610,2014-01-01,bottled beer,7,3,1
2344,2014-02-22,napkins,25,3,2
2920,2014-05-12,rolls/buns,11,3,3
3847,2014-03-14,domestic eggs,11,3,1
1991,2014-10-31,butter,23,3,2
2241,2014-02-17,frozen vegetables,9,3,1
2794,2014-02-18,whole milk,18,3,2
3871,2014-10-05,salty snack,7,3,1
4085,2014-04-15,potato products,10,3,1
3964,2014-03-11,bottled water,5,3,4
1111,2014-10-24,flour,11,3,1
1294,2014-08-14,soda,12,3,4
1338,2014-08-11,whole milk,5,3,4
1079,2014-10-07,bottled water,6,3,1
1794,2014-04-14,yogurt,5,3,5
4715,2014-11-10,margarine,12,3,1
4694,2014-06-01,whipped/sour cream,20,3,2
4156,2014-08-19,candles,13,3,2
4264,2014-03-16,butter milk,9,3,1
1732,2014-04-03,canned beer,7,3,1
1161,2014-01-26,newspapers,7,3,2
4058,2014-02-07,flour,7,3,1
4183,2014-10-08,ice cream,17,3,1
4371,2014-03-29,canned beer,9,3,2
3218,2014-01-06,dishes,5,3,2
3094,2014-07-02,brown bread,17,3,3
2082,2014-10-10,butter,10,3,1
3015,2014-01-31,bottled water,10,3,1
4582,2014-06-22,newspapers,9,3,2
4851,2014-05-20,spread cheese,14,3,1
3766,2014-02-20,nuts/prunes,9,3,2
4199,2014-04-05,specialty cheese,11,3,1
3663,2014-08-28,margarine,19,3,2
2044,2014-03-17,butter,9,3,2
1566,2014-01-30,waffles,21,3,1
3698,2014-09-22,whole milk,11,3,3
3815,2014-01-30,margarine,9,3,3
4634,2014-05-10,oil,9,3,1
2051,2014-12-03,other vegetables,33,3,4
2252,2014-12-17,spices,21,3,1
4502,2014-06-04,sugar,9,3,1
2169,2014-06-25,pickled vegetables,11,3,1
3237,2014-08-07,rolls/buns,13,3,1
1999,2014-05-31,butter,16,3,1
2175,2014-11-02,whipped/sour cream,13,3,4
4177,2014-02-05,fruit/vegetable juice,10,3,1
2014,2014-08-08,white bread,19,3,1
2991,2014-04-22,specialty cheese,12,3,1
3334,2014-01-09,white wine,9,3,2
1580,2014-02-24,mustard,16,3,1
4094,2014-07-14,other vegetables,10,3,4
4163,2014-11-05,sugar,15,3,1
2991,2014-03-01,soda,12,3,5
4744,2014-12-23,yogurt,15,3,4
3896,2014-04-02,spread cheese,11,3,1
2560,2014-04-19,yogurt,24,3,4
2236,2014-01-07,soda,14,3,5
2778,2014-06-29,soda,9,3,2
3960,2014-05-14,whipped/sour cream,23,3,2
2258,2014-01-21,butter,7,3,2
4286,2014-11-22,canned beer,13,3,1
2239,2014-11-23,other vegetables,12,3,1
4728,2014-06-11,soda,10,3,3
3439,2014-03-28,newspapers,11,3,2
3353,2014-07-13,UHT-milk,19,3,2
2127,2014-11-19,margarine,12,3,2
1513,2014-05-29,sparkling wine,10,3,1
1134,2014-05-11,brown bread,7,3,1
1286,2014-04-26,domestic eggs,16,3,3
1123,2014-08-09,oil,11,3,1
4327,2014-08-05,soda,5,3,1
4814,2014-12-01,bottled beer,15,3,1
3277,2014-08-28,yogurt,7,3,4
4272,2014-05-06,whole milk,27,3,3
3363,2014-08-06,rolls/buns,13,3,1
1896,2014-12-16,dish cleaner,12,3,1
2524,2014-10-13,semi-finished bread,28,3,1
4243,2014-07-02,chocolate,16,3,1
4930,2014-08-13,other vegetables,3,3,2
3465,2014-01-27,shopping bags,22,3,2
3938,2014-08-16,bottled water,16,3,2
2849,2014-02-11,herbs,11,3,1
1894,2014-08-19,waffles,14,3,1
2738,2014-02-11,pot plants,21,3,1
1000,2014-06-24,pastry,13,3,1
2626,2014-02-14,yogurt,7,3,2
4216,2014-11-17,whole milk,11,3,3
1810,2014-06-09,bottled water,12,3,1
1125,2014-05-30,margarine,11,3,3
4392,2014-07-10,specialty bar,13,3,1
3957,2014-07-19,root vegetables,24,3,3
4084,2014-09-28,cream cheese ,11,3,2
3672,2014-06-19,UHT-milk,13,3,2
3531,2014-03-18,pastry,17,3,1
2066,2014-02-05,flour,12,3,1
4376,2014-07-23,domestic eggs,26,3,1
1662,2014-01-27,sugar,5,3,1
3728,2014-06-17,other vegetables,13,3,2
2045,2014-04-02,other vegetables,15,3,6
2067,2014-04-05,bottled water,9,3,3
3743,2014-10-16,curd,17,3,2
1735,2014-04-22,rolls/buns,5,3,3
1547,2014-07-07,whole milk,7,3,7
2451,2014-02-26,hard cheese,7,3,1
1661,2014-03-02,salty snack,17,3,1
2365,2014-11-29,waffles,17,3,2
4932,2014-05-14,soda,14,3,3
2310,2014-10-31,instant coffee,16,3,1
2138,2014-11-03,yogurt,18,3,2
2903,2014-05-08,other vegetables,12,3,2
1512,2014-06-03,rolls/buns,10,3,2
3204,2014-12-16,popcorn,11,3,1
3324,2014-11-10,chewing gum,11,3,2
1653,2014-05-29,long life bakery product,18,3,1
1428,2014-08-23,soda,13,3,2
4598,2014-11-05,yogurt,18,3,3
4233,2014-08-18,cleaner,11,2,1
4130,2014-10-24,yogurt,16,2,3
3537,2014-06-21,cream cheese ,13,2,2
3475,2014-12-23,yogurt,10,2,4
2799,2014-09-24,cat food,21,2,1
1188,2014-11-21,bottled beer,8,2,2
1747,2014-09-17,whipped/sour cream,11,2,3
4782,2014-04-17,rolls/buns,10,2,2
1609,2014-12-21,sugar,15,2,2
1077,2014-10-07,butter,14,2,3
1190,2014-04-24,bottled beer,17,2,2
2746,2014-02-13,curd,15,2,1
2556,2014-11-11,specialty bar,10,2,1
2351,2014-09-18,domestic eggs,6,2,1
3570,2014-09-14,oil,11,2,1
2550,2014-12-24,whole milk,16,2,6
2031,2014-03-20,bottled water,14,2,3
2160,2014-06-28,specialty chocolate,12,2,3
1420,2014-03-25,cat food,11,2,3
2960,2014-11-28,dishes,26,2,1
3334,2014-03-27,vinegar,9,2,1
3840,2014-10-31,herbs,10,2,2
3516,2014-01-18,rolls/buns,7,2,2
3435,2014-07-30,rice,10,2,1
2428,2014-04-01,soda,17,2,3
3639,2014-07-23,yogurt,9,2,8
4173,2014-02-14,whipped/sour cream,4,2,2
4275,2014-04-03,dishes,15,2,1
2320,2014-04-22,flour,10,2,1
2522,2014-08-08,hard cheese,8,2,1
2399,2014-08-18,pastry,11,2,1
4097,2014-06-20,ice cream,14,2,1
1517,2014-09-11,hygiene articles,10,2,2
4187,2014-04-16,pastry,21,2,3
2553,2014-08-16,flower soil/fertilizer,14,2,1
4164,2014-03-27,whole milk,10,2,4
3123,2014-10-17,bottled beer,9,2,1
1466,2014-07-13,candy,23,2,1
4105,2014-10-26,onions,10,2,1
3530,2014-03-21,specialty chocolate,6,2,2
2960,2014-03-11,shopping bags,26,2,1
2676,2014-10-06,soda,14,2,3
4318,2014-08-28,butter milk,6,2,2
2956,2014-08-07,yogurt,11,2,3
1360,2014-06-17,processed cheese,16,2,1
2285,2014-07-06,UHT-milk,4,2,1
4117,2014-07-12,liquor,15,2,1
3009,2014-01-27,semi-finished bread,14,2,1
1069,2014-05-20,fruit/vegetable juice,10,2,1
1194,2014-02-27,napkins,9,2,1
4406,2014-03-21,ice cream,17,2,1
2028,2014-05-02,flower (seeds),13,2,2
1500,2014-04-01,fruit/vegetable juice,16,2,1
2617,2014-05-27,frozen vegetables,16,2,3
2545,2014-10-11,domestic eggs,12,2,2
3356,2014-02-21,frozen vegetables,16,2,2
3557,2014-05-06,brown bread,11,2,1
1311,2014-01-14,rolls/buns,8,2,9
4803,2014-01-16,pickled vegetables,6,2,2
3685,2014-07-20,soda,10,2,4
4206,2014-04-04,root vegetables,15,2,1
1457,2014-04-15,hard cheese,12,2,2
4610,2014-11-18,candy,12,2,1
2802,2014-09-14,condensed milk,8,2,1
3232,2014-07-09,red/blush wine,16,2,1
1623,2014-01-12,soda,12,2,4
2029,2014-05-27,bottled water,11,2,2
2180,2014-12-18,butter,5,2,1
4654,2014-08-03,shopping bags,7,2,2
3462,2014-12-16,specialty cheese,25,2,1
2279,2014-04-11,salty snack,8,2,1
2027,2014-10-09,cling film/bags,5,2,1
2667,2014-10-22,domestic eggs,5,2,4
1379,2014-02-27,fruit/vegetable juice,28,2,2
4025,2014-04-10,yogurt,12,2,4
2958,2014-04-27,softener,10,2,1
4349,2014-11-22,brown bread,8,2,4
2850,2014-02-27,rolls/buns,9,2,7
2306,2014-02-26,shopping bags,13,2,5
4941,2014-02-08,pasta,26,2,1
1788,2014-09-19,brown bread,16,2,5
2398,2014-06-18,rolls/buns,7,2,2
4046,2014-03-31,shopping bags,9,2,1
3976,2014-10-25,pasta,13,2,1
1905,2014-04-22,cream cheese ,26,2,1
4897,2014-03-23,frozen potato products,8,2,1
2237,2014-01-01,Instant food products,9,2,2
3649,2014-05-30,soda,17,2,3
1699,2014-01-25,hygiene articles,10,2,2
1504,2014-10-14,whole milk,11,2,2
4488,2014-04-26,soda,6,2,1
1082,2014-03-20,hygiene articles,5,2,1
1966,2014-09-20,white bread,16,2,1
2169,2014-02-05,long life bakery product,11,2,1
1711,2014-12-15,yogurt,19,2,2
1827,2014-09-30,curd,23,2,1
4389,2014-10-07,brown bread,17,2,2
2625,2014-09-06,yogurt,31,2,2
3984,2014-09-02,soft cheese,6,2,1
4709,2014-05-24,other vegetables,6,2,7
3115,2014-01-30,other vegetables,16,2,3
4319,2014-03-10,shopping bags,14,2,1
2183,2014-12-29,yogurt,7,2,2
2338,2014-09-22,canned beer,11,2,1
2156,2014-05-08,domestic eggs,9,2,1
2298,2014-08-28,yogurt,20,2,4
4472,2014-10-11,Instant food products,2,2,1
4835,2014-12-05,margarine,14,2,1
3581,2014-06-09,rolls/buns,20,2,4
4682,2014-04-21,toilet cleaner,6,2,1
2149,2014-07-13,bathroom cleaner,9,2,1
2990,2014-07-16,kitchen towels,24,2,1
2439,2014-05-28,dog food,10,2,1
4406,2014-07-11,soda,17,2,3
2463,2014-12-06,soda,6,2,1
4047,2014-04-04,shopping bags,4,2,2
1343,2014-02-07,whole milk,10,4,3
2628,2014-12-02,candy,2,2,1
3467,2014-11-08,citrus fruit,13,2,1
3320,2014-01-21,rolls/buns,6,2,5
3126,2014-12-02,whole milk,2,2,8
4991,2014-05-19,shopping bags,10,2,3
4317,2014-01-28,ice cream,4,2,1
3332,2014-09-21,domestic eggs,5,2,3
4487,2014-06-14,cat food,19,2,1
1864,2014-01-03,butter,8,2,2
2812,2014-08-28,whipped/sour cream,4,2,2
1561,2014-01-19,cream cheese ,20,2,2
2555,2014-04-26,brown bread,16,2,2
3517,2014-09-21,domestic eggs,22,2,3
4972,2014-07-30,liquor,13,2,1
4081,2014-01-11,domestic eggs,6,2,1
4336,2014-11-28,chocolate,15,2,2
4193,2014-06-14,shopping bags,8,2,1
1944,2014-08-10,cake bar,4,2,1
1086,2014-07-27,soda,14,2,4
4518,2014-08-31,yogurt,5,2,3
1362,2014-01-03,mustard,5,2,1
1297,2014-07-06,house keeping products,9,2,1
4809,2014-07-13,sugar,12,2,2
3720,2014-08-09,margarine,8,2,1
4946,2014-06-24,other vegetables,18,2,6
1399,2014-12-10,canned vegetables,9,2,1
3548,2014-06-15,shopping bags,15,2,3
2791,2014-11-21,photo/film,2,2,1
3541,2014-02-21,pickled vegetables,4,2,1
2694,2014-05-09,pastry,19,2,1
4449,2014-12-11,salty snack,10,2,2
2288,2014-12-05,sliced cheese,12,2,1
1426,2014-03-20,yogurt,10,2,1
4126,2014-04-22,brown bread,7,2,2
2960,2014-11-14,berries,26,2,1
3921,2014-06-18,cream cheese ,8,2,1
3931,2014-10-26,long life bakery product,13,2,2
3183,2014-12-10,grapes,7,2,1
4172,2014-02-16,whipped/sour cream,9,2,3
1767,2014-12-18,shopping bags,12,2,1
4665,2014-12-03,cat food,8,2,1
3386,2014-03-18,pasta,8,2,1
3731,2014-06-29,brown bread,9,2,2
1478,2014-12-26,cream cheese ,8,2,2
3306,2014-07-21,yogurt,16,2,10
1204,2014-06-23,pastry,16,2,2
1611,2014-03-18,yogurt,10,2,2
4555,2014-12-19,brown bread,14,2,2
1612,2014-12-25,ice cream,16,4,1
2217,2014-09-14,long life bakery product,8,2,1
1869,2014-12-20,misc. beverages,11,2,1
3384,2014-11-13,soda,10,2,3
4875,2014-06-05,chocolate,29,2,1
3157,2014-07-10,Instant food products,7,2,1
2973,2014-10-21,waffles,12,2,1
3007,2014-04-01,yogurt,4,2,3
1230,2014-03-16,sliced cheese,14,2,1
1522,2014-01-30,margarine,19,2,3
3714,2014-02-15,domestic eggs,4,2,2
2110,2014-11-22,newspapers,8,2,2
3051,2014-05-25,salty snack,15,2,3
3790,2014-04-24,yogurt,13,2,6
3851,2014-08-11,chocolate,8,2,2
4498,2014-07-22,frozen meals,11,2,2
1182,2014-09-30,red/blush wine,16,2,1
2694,2014-02-21,hard cheese,19,2,1
4099,2014-05-23,Instant food products,5,2,1
2229,2014-07-24,pastry,22,2,2
2618,2014-01-12,salty snack,16,2,2
4902,2014-05-30,butter,6,2,4
1746,2014-10-23,cream cheese ,10,2,3
2424,2014-09-28,pickled vegetables,6,2,1
2922,2014-02-23,photo/film,6,2,1
4030,2014-05-29,margarine,20,2,3
3107,2014-02-27,rolls/buns,14,2,7
1996,2014-09-22,soda,10,2,1
3613,2014-01-25,shopping bags,12,2,1
2423,2014-07-31,ice cream,4,2,1
4384,2014-09-06,UHT-milk,14,2,2
2856,2014-12-24,sparkling wine,4,2,1
1437,2014-03-15,domestic eggs,4,2,2
4116,2014-05-23,pastry,8,2,4
2143,2014-12-17,frozen vegetables,7,2,1
4013,2014-12-23,popcorn,9,2,1
2011,2014-08-14,soda,18,2,4
3011,2014-06-27,frozen vegetables,11,2,2
4259,2014-12-16,ice cream,12,2,1
3750,2014-09-30,yogurt,6,2,3
3633,2014-07-12,shopping bags,16,2,5
4544,2014-12-08,pot plants,12,2,2
2314,2014-02-09,candy,10,2,1
2287,2014-10-27,chocolate,8,2,1
2166,2014-05-04,red/blush wine,15,2,1
1162,2014-08-20,salty snack,12,2,1
4215,2014-04-03,liquor (appetizer),18,2,1
4666,2014-02-01,dessert,20,2,1
3790,2014-06-09,yogurt,13,2,3
3650,2014-12-23,frozen vegetables,6,2,1
3309,2014-01-30,domestic eggs,16,2,3
1501,2014-08-28,butter,10,2,2
4580,2014-10-12,coffee,8,2,1
4942,2014-01-01,frozen vegetables,10,2,3
1169,2014-01-04,bottled water,21,2,2
1217,2014-07-21,sugar,8,2,1
4750,2014-05-03,brown bread,11,2,2
4870,2014-07-01,bottled water,6,2,1
4194,2014-07-21,whole milk,14,2,9
3629,2014-11-22,rolls/buns,13,2,4
1143,2014-07-14,soda,12,2,4
2600,2014-07-12,berries,19,2,1
4432,2014-09-01,butter,10,2,3
1147,2014-05-01,whole milk,6,2,2
4508,2014-11-29,white bread,13,2,1
3130,2014-02-01,yogurt,6,2,3
3181,2014-07-17,butter milk,14,2,2
3830,2014-11-14,coffee,23,2,2
3153,2014-04-14,frozen vegetables,16,2,1
3656,2014-01-20,dental care,9,2,1
1930,2014-07-07,UHT-milk,13,2,2
2761,2014-08-19,margarine,15,2,2
4443,2014-11-10,whole milk,7,2,5
3976,2014-03-13,onions,13,2,2
2671,2014-06-04,salty snack,8,2,1
3189,2014-08-31,whole milk,17,2,4
1850,2014-03-12,margarine,8,2,2
1899,2014-03-01,brown bread,12,2,2
2570,2014-02-25,roll products ,11,2,1
3805,2014-09-18,specialty fat,6,2,1
1580,2014-02-20,domestic eggs,16,2,3
3474,2014-01-19,curd,16,2,1
2758,2014-12-27,long life bakery product,20,2,2
1996,2014-06-09,yogurt,10,2,3
2426,2014-09-26,whipped/sour cream,17,2,2
4898,2014-09-10,margarine,6,2,1
1187,2014-11-09,domestic eggs,7,2,3
2056,2014-05-14,canned vegetables,18,2,1
4923,2014-12-26,domestic eggs,13,2,2
4321,2014-01-14,soda,18,2,4
2924,2014-11-14,frozen dessert,11,2,1
2029,2014-08-26,whole milk,11,2,1
2402,2014-04-16,yogurt,10,2,4
3137,2014-10-18,coffee,19,2,2
3115,2014-09-16,white bread,16,2,1
1628,2014-06-20,cream cheese ,15,2,1
1930,2014-05-28,soda,13,2,4
2751,2014-10-13,bottled water,12,2,5
1753,2014-02-26,canned fish,17,2,2
3323,2014-02-08,brown bread,11,2,2
3267,2014-03-30,herbs,9,2,1
1069,2014-01-20,rolls/buns,10,2,4
2164,2014-01-31,curd cheese,25,2,1
3660,2014-07-28,pastry,10,2,4
2129,2014-09-05,condensed milk,16,2,1
1836,2014-10-23,margarine,6,2,1
4007,2014-12-09,specialty chocolate,12,2,2
1715,2014-02-25,specialty chocolate,17,2,1
1225,2014-10-03,jam,21,2,1
4492,2014-05-15,yogurt,9,2,1
4197,2014-04-05,long life bakery product,17,2,1
4878,2014-09-13,whipped/sour cream,7,2,5
3574,2014-02-20,domestic eggs,14,2,3
4259,2014-12-11,newspapers,12,2,1
2131,2014-12-12,bottled water,12,2,3
1308,2014-11-23,whole milk,8,2,4
3089,2014-02-24,rolls/buns,11,2,5
3695,2014-03-21,margarine,8,2,4
1574,2014-01-15,flour,23,2,1
3643,2014-08-21,kitchen towels,15,2,1
4900,2014-10-01,root vegetables,4,2,1
4603,2014-06-18,popcorn,10,2,1
4088,2014-02-18,oil,10,2,1
2155,2014-11-11,salad dressing,8,2,1
1050,2014-03-06,yogurt,14,2,2
2144,2014-10-02,curd,10,2,1
4308,2014-01-07,whole milk,19,2,9
4741,2014-02-28,waffles,17,2,1
2550,2014-07-12,canned beer,16,2,2
1797,2014-10-08,sugar,11,2,3
4235,2014-03-21,curd,19,2,2
1680,2014-09-09,beverages,6,2,1
3348,2014-05-14,brown bread,14,2,2
2835,2014-05-10,whole milk,19,2,1
1391,2014-12-19,processed cheese,13,2,1
1086,2014-12-10,whipped/sour cream,14,2,3
2705,2014-12-20,sweet spreads,6,2,1
2803,2014-02-20,margarine,11,2,1
2045,2014-07-09,whole milk,15,2,5
4270,2014-03-16,brown bread,6,2,1
1817,2014-09-02,whipped/sour cream,12,2,1
4756,2014-05-09,curd,14,2,2
4125,2014-06-03,rolls/buns,11,2,2
4014,2014-02-01,shopping bags,8,2,1
1500,2014-09-26,shopping bags,16,3,4
3855,2014-07-15,yogurt,18,3,1
2037,2014-05-05,curd,8,3,1
4907,2014-02-01,whipped/sour cream,5,3,1
2055,2014-12-14,soda,17,3,3
1133,2014-03-21,shopping bags,13,3,6
3099,2014-12-16,butter milk,12,3,3
4261,2014-06-13,fruit/vegetable juice,12,3,2
2276,2014-07-25,whipped/sour cream,7,3,2
2584,2014-04-02,curd,20,3,1
1544,2014-05-01,semi-finished bread,9,3,2
4416,2014-09-03,margarine,16,3,2
3727,2014-05-02,cat food,13,3,1
1059,2014-06-14,salty snack,5,3,1
1999,2014-04-30,frozen vegetables,16,3,2
2584,2014-06-19,curd,20,3,2
3528,2014-09-07,liquor (appetizer),12,3,1
3782,2014-04-25,tropical fruit,18,3,1
4453,2014-03-20,whole milk,18,3,3
1881,2014-02-15,bottled water,11,3,2
4122,2014-10-20,nut snack,9,3,1
4874,2014-02-21,bottled water,5,3,2
1410,2014-02-07,mustard,27,3,1
3357,2014-05-19,long life bakery product,9,3,1
1554,2014-10-27,canned fish,15,3,1
1652,2014-05-05,yogurt,12,3,1
4251,2014-07-01,ice cream,22,3,1
4316,2014-05-03,soda,20,3,3
1491,2014-08-04,soft cheese,11,3,1
1522,2014-10-11,long life bakery product,19,3,2
1927,2014-06-20,mayonnaise,6,3,1
3668,2014-10-24,whole milk,13,3,3
4385,2014-08-05,bottled water,5,3,1
3005,2014-11-26,newspapers,11,3,2
2132,2014-01-24,waffles,11,3,2
2484,2014-07-16,whipped/sour cream,14,3,3
2264,2014-07-22,canned beer,8,3,2
3045,2014-08-16,chocolate,11,3,1
4297,2014-05-30,rolls/buns,23,3,7
1050,2014-05-30,yogurt,14,3,3
3718,2014-07-07,bottled water,18,3,2
1423,2014-10-13,mustard,6,3,1
1071,2014-09-26,roll products ,3,3,2
1399,2014-04-05,other vegetables,9,3,1
2892,2014-08-19,pastry,5,3,2
2396,2014-08-19,tropical fruit,11,3,3
3663,2014-01-02,frozen vegetables,19,3,1
4139,2014-03-25,domestic eggs,6,3,3
4044,2014-07-08,cream cheese ,10,3,2
3639,2014-01-20,whipped/sour cream,9,3,2
1753,2014-10-03,whole milk,17,3,1
1835,2014-07-08,detergent,10,3,1
1783,2014-02-14,yogurt,18,3,2
3863,2014-09-01,frozen dessert,14,3,1
1229,2014-09-03,white bread,8,3,1
2470,2014-05-01,white bread,11,3,1
1828,2014-01-06,spread cheese,9,3,1
3360,2014-04-12,hamburger meat,11,3,1
4690,2014-03-06,softener,9,3,1
4814,2014-01-08,whole milk,15,3,4
3099,2014-02-10,butter,12,3,2
3961,2014-06-23,bottled water,10,3,2
1948,2014-11-02,hamburger meat,22,3,1
4414,2014-10-15,shopping bags,7,3,2
2906,2014-11-13,brown bread,11,3,1
2017,2014-10-07,coffee,16,3,2
2086,2014-06-18,liquor,20,3,1
3082,2014-11-10,frozen dessert,26,3,1
4574,2014-05-01,other vegetables,21,3,4
3696,2014-04-05,roll products ,5,3,1
1653,2014-04-23,pastry,18,3,5
2930,2014-04-03,fruit/vegetable juice,14,3,1
3602,2014-10-07,butter,5,3,3
1103,2014-07-28,hygiene articles,10,3,2
3223,2014-08-06,pork,3,3,1
4788,2014-09-09,whole milk,13,3,1
3358,2014-10-22,hard cheese,18,3,1
4133,2014-02-02,yogurt,13,3,2
4160,2014-07-10,specialty cheese,13,3,2
2080,2014-07-23,specialty vegetables,5,3,1
1877,2014-06-22,butter,11,3,2
2243,2014-10-01,tropical fruit,10,4,2
2738,2014-01-16,pastry,21,4,1
3869,2014-08-12,white bread,8,4,3
2924,2014-05-26,sliced cheese,11,4,2
4613,2014-10-04,butter,12,4,2
3421,2014-10-18,waffles,11,4,2
4764,2014-08-28,domestic eggs,8,4,1
4800,2014-10-27,cake bar,15,4,1
1288,2014-08-20,packaged fruit/vegetables,7,4,1
2194,2014-06-06,whole milk,15,4,5
2072,2014-08-12,chocolate,13,4,3
2950,2014-02-03,soda,15,4,4
1681,2014-07-06,popcorn,6,4,1
3957,2014-07-20,curd,24,4,2
1004,2014-10-13,chocolate,21,4,3
4048,2014-04-12,fruit/vegetable juice,9,4,3
2309,2014-04-17,yogurt,12,4,1
3238,2014-02-06,canned beer,8,4,1
3613,2014-10-20,bottled water,12,4,2
1716,2014-08-11,fruit/vegetable juice,8,4,5
3669,2014-06-25,processed cheese,12,4,1
4806,2014-09-13,brown bread,11,4,1
1434,2014-11-13,margarine,8,4,2
3977,2014-02-01,butter milk,6,4,1
4086,2014-01-14,semi-finished bread,13,4,2
